date,crop,price
2025-07-13,wheat,1988.7731245509747
2025-07-14,wheat,2013.8655115400647
2025-07-15,wheat,1964.6603384981283
2025-07-16,wheat,1994.0436057429713
2025-07-17,wheat,2026.8342942273266
2025-07-18,wheat,2017.6608151860744
2025-07-19,wheat,2054.3760894658158
2025-07-20,wheat,2012.6139962747625
2025-07-21,wheat,2013.9545483430154
2025-07-22,wheat,2047.0457449506566
2025-07-23,wheat,2022.44823753727
2025-07-24,wheat,2028.263278591226
2025-07-25,wheat,2021.6837124210883
2025-07-26,wheat,2031.5026899016032
2025-07-27,wheat,2024.6612680868825
2025-07-28,wheat,2012.7375929946327
2025-07-29,wheat,1993.1599130773452
2025-07-30,wheat,1990.7838277169853
2025-07-31,wheat,1996.4172557533102
2025-08-01,wheat,1974.2502427027734
2025-08-02,wheat,2005.3182660914217
2025-08-03,wheat,1973.9709937637035
2025-08-04,wheat,2002.2394253900331
2025-08-05,wheat,1950.4391947748818
2025-08-06,wheat,1987.9928102205322
2025-08-07,wheat,1950.283463776809
2025-08-08,wheat,2000.9328513951632
2025-08-09,wheat,1973.950448045385
2025-08-10,wheat,2035.167428604306
2025-08-11,wheat,1994.6604752478504
2025-08-12,wheat,1997.791463819258
2025-08-13,wheat,1991.3609170548316
2025-08-14,wheat,2041.8975590400182
2025-08-15,wheat,2009.3887938855437
2025-08-16,wheat,2047.8419444973445
2025-08-17,wheat,2022.1284653877233
2025-08-18,wheat,2009.8863909194429
2025-08-19,wheat,2033.835826959486
2025-08-20,wheat,2021.3859254676308
2025-08-21,wheat,2026.7096289856638
2025-08-22,wheat,1997.1375300938837
2025-08-23,wheat,2039.5029650872411
2025-08-24,wheat,2031.7967600478066
2025-08-25,wheat,2020.3994818453068
2025-08-26,wheat,2014.0008662163661
2025-08-27,wheat,2025.1446675876687
2025-08-28,wheat,2021.1967802135991
2025-08-29,wheat,2007.5441471303122
2025-08-30,wheat,1979.6209684186208
2025-08-31,wheat,1976.1097953151332
2025-09-01,wheat,1982.1790122541927
2025-09-02,wheat,1933.8402310144993
2025-09-03,wheat,1983.1977547556787
2025-09-04,wheat,1999.8085784676107
2025-09-05,wheat,1999.5787358823688
2025-09-06,wheat,1970.500933006844
2025-09-07,wheat,1987.7714190031859
2025-09-08,wheat,1948.4450705169686
2025-09-09,wheat,1968.081112445741
2025-09-10,wheat,1982.0889055898233
2025-09-11,wheat,1962.713681966488
2025-09-12,wheat,1989.1645454521474
2025-09-13,wheat,2015.9301225556642
2025-09-14,wheat,2004.536983260556
2025-09-15,wheat,1987.2139190968492
2025-09-16,wheat,2000.9142077041809
2025-09-17,wheat,2015.9012490293653
2025-09-18,wheat,2024.142798122961
2025-09-19,wheat,1984.735824783479
2025-09-20,wheat,2052.855150450729
2025-09-21,wheat,2020.34359380117
2025-09-22,wheat,2029.3789594052632
2025-09-23,wheat,2041.5925245463122
2025-09-24,wheat,2034.9504983651302
2025-09-25,wheat,1975.581152490366
2025-09-26,wheat,2026.410481514107
2025-09-27,wheat,2052.340433253706
2025-09-28,wheat,2029.9481259473685
2025-09-29,wheat,2031.5091560990586
2025-09-30,wheat,1986.2652510494156
2025-10-01,wheat,2014.1231641630823
2025-10-02,wheat,2004.466624028763
2025-10-03,wheat,1966.0108072858054
2025-10-04,wheat,2001.7132318069
2025-10-05,wheat,1980.1112957719356
2025-10-06,wheat,1950.8578093033477
