region,date,temp_max,temp_min,precip_mm,wind_speed
bhopal,2025-11-02,29.4,22.2,0.0,10.8
bhopal,2025-11-03,29.8,21.6,0.0,9.4
bhopal,2025-11-04,29.0,21.4,0.0,13.0
bhopal,2025-11-05,28.8,20.5,0.0,10.0
bhopal,2025-11-06,28.3,16.2,0.0,9.0
bhopal,2025-11-07,27.8,15.0,0.0,9.6
bhopal,2025-11-08,27.7,12.6,0.0,9.8
bhopal,2025-11-09,27.2,13.5,0.0,7.2
bhopal,2025-11-10,26.9,13.9,0.0,5.7
bhopal,2025-11-11,27.1,12.2,0.0,5.4
bhopal,2025-11-12,27.2,14.5,0.0,7.3
bhopal,2025-11-13,26.7,14.0,0.0,10.7
bhopal,2025-11-14,25.8,12.0,0.0,10.9
bhopal,2025-11-15,25.5,11.5,0.0,11.0
