region,date,temp_max,temp_min,precip_mm,wind_speed
mumbai,2025-11-02,27.5,26.8,8.4,17.1
mumbai,2025-11-03,27.9,26.4,7.0,14.1
mumbai,2025-11-04,28.3,26.3,5.1,10.0
mumbai,2025-11-05,27.9,25.7,1.7,11.4
mumbai,2025-11-06,28.1,25.6,0.0,13.0
mumbai,2025-11-07,28.9,26.4,0.0,11.8
mumbai,2025-11-08,29.6,26.3,0.0,13.4
mumbai,2025-11-09,27.8,25.5,0.0,13.4
mumbai,2025-11-10,27.9,24.5,0.0,11.0
mumbai,2025-11-11,28.8,25.1,0.0,12.2
mumbai,2025-11-12,29.6,25.2,0.0,15.5
mumbai,2025-11-13,28.8,25.1,0.0,16.2
mumbai,2025-11-14,28.7,24.7,0.0,12.7
mumbai,2025-11-15,29.0,24.9,0.0,11.2
